# nonlinearity_BaTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.000537 rms(gamma_xy)=1.417241 |<gamma_xy>|/rms=0.000379 (pass)
# off-grid 11^3: non-degenerate 17967 stable, 6659 flagged (37.1%); degenerate 933 stable, 478 flagged (51.2%)
# on-grid 4^3 (exact): non-degenerate 626 stable, 227 flagged (36.3%); degenerate 284 stable, 126 flagged (44.4%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +0.1045(+)/+0.0931(-), worst=0.1045
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.000564 rms=1.410568 |mean|/rms=0.000400; on-grid non-degenerate flag rate=24.1%; eta_44 sensitivity worst=0.3951
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
7,0.000000,0.000000,0.636400,15,660.0211,0.0023,-1.5034,-10716.5200,0.0573,-1983.7458,-14143384.4675,0.0023,-0.0017,0,0,0
8,0.000000,0.000000,0.727300,1,-166.8609,-2.5686,-428.6002,27025.4800,0.5714,-142454.0988,8817035.8533,nan,nan,1,1,0
8,0.000000,0.000000,0.727300,2,-166.8609,2.5532,426.0237,32057.6200,0.6778,141490.5554,10491140.0415,nan,nan,1,1,0
8,0.000000,0.000000,0.727300,3,89.2165,2.6265,-234.3247,-4133.2200,0.1634,-41762.8512,-682168.0057,2.6234,-307.0112,0,1,1
8,0.000000,0.000000,0.727300,4,89.2165,-2.6300,234.6393,-4422.2600,0.1749,41815.5302,-733532.9440,-2.6267,-307.7862,0,1,1
8,0.000000,0.000000,0.727300,5,123.7289,0.0044,-0.5474,-189.0800,0.0054,-135.4533,-46788.1429,0.0044,-0.0012,0,0,0
8,0.000000,0.000000,0.727300,6,185.9930,2.1981,-408.8268,77.1600,0.0015,-152079.4225,195841.9408,2.1981,-449.3256,0,1,0
8,0.000000,0.000000,0.727300,7,185.9930,-2.2019,409.5376,435.6800,0.0083,152351.1742,329792.6508,-2.2020,-450.9328,0,1,0
8,0.000000,0.000000,0.727300,8,236.4258,-0.0223,5.2775,-3092.2600,0.0461,2494.6583,-1461913.1848,-0.0223,-0.0589,0,0,0
8,0.000000,0.000000,0.727300,9,309.4064,-0.0034,1.0385,-1159.9000,0.0132,642.5770,-717726.3677,-0.0034,-0.0017,0,0,0
8,0.000000,0.000000,0.727300,10,310.5086,0.6667,-207.0207,-19235.5800,0.2186,-128364.2878,-11893516.4652,0.6657,-68.7983,0,1,1
8,0.000000,0.000000,0.727300,11,310.5086,-0.6726,208.8625,-19310.9400,0.2194,129505.5187,-11939477.7189,-0.6716,-70.0271,0,1,1
8,0.000000,0.000000,0.727300,12,450.8854,2.0505,-924.5630,3216.3600,0.0252,-833892.6155,3755494.9406,2.0509,-948.2694,0,1,0
8,0.000000,0.000000,0.727300,13,450.8854,-2.0533,925.8157,3684.0600,0.0288,835044.1154,4179651.8028,-2.0537,-950.8901,0,1,0
8,0.000000,0.000000,0.727300,14,487.3929,-0.0035,1.7091,-627.2600,0.0045,1665.9527,-611431.3308,-0.0035,-0.0030,0,0,0
8,0.000000,0.000000,0.727300,15,662.8446,0.0028,-1.8257,-9190.9000,0.0489,-2419.4718,-12182162.0315,0.0028,-0.0025,0,0,0
