# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
164,6,172.2358,197.4312,219860.5158,-3.705703,-2.820238,0.238946
164,7,187.9721,213.3861,23787.5282,-0.336614,-0.261208,0.224013
165,5,167.9085,195.6847,182026.5486,-3.228193,-2.376791,0.263740
165,6,169.3118,194.8184,15589.4865,-0.271911,-0.205372,0.244709
165,7,199.3402,228.9872,107400.4957,-1.351408,-1.024128,0.242178
166,4,160.8842,190.6590,37346.4958,-0.721428,-0.513695,0.287948
166,5,162.2677,187.9766,60477.0688,-1.148409,-0.855762,0.254828
166,6,186.8165,216.4994,112858.5332,-1.616866,-1.203902,0.255410
167,4,170.5950,202.1966,-58437.9624,1.003997,0.714690,-0.288156
167,5,172.8668,195.9237,-60102.1882,1.005627,0.782864,-0.221516
167,6,189.2145,215.7782,169356.7530,-2.365178,-1.818684,0.231058
168,5,167.1975,196.8728,-166024.6209,2.969496,2.141762,-0.278746
169,5,162.6052,188.0264,-269285.0104,5.092292,3.808419,-0.252121
170,5,159.5413,196.8466,-326241.9040,6.408607,4.209726,-0.343114
171,5,159.5413,196.8466,-326241.9040,6.408607,4.209726,-0.343114
172,5,162.6052,188.0264,-269285.0104,5.092292,3.808419,-0.252121
173,5,167.1975,196.8728,-166024.6209,2.969496,2.141762,-0.278746
174,4,170.5950,202.1966,-58437.9624,1.003997,0.714690,-0.288156
174,5,172.8668,195.9237,-60102.1882,1.005627,0.782864,-0.221516
174,6,189.2145,215.7782,169356.7530,-2.365178,-1.818684,0.231058
175,4,160.8842,190.6590,37346.4958,-0.721428,-0.513695,0.287948
175,5,162.2677,187.9766,60477.0688,-1.148409,-0.855762,0.254828
175,6,186.8165,216.4994,112858.5332,-1.616866,-1.203902,0.255410
176,5,173.2883,194.9074,64691.2926,-1.077153,-0.851450,0.209537
176,6,176.8875,208.6933,6470.8299,-0.103404,-0.074287,0.281582
